FID,AREA,PERIMETER,name,x,y,val
320,0,0,芷江侗族自治县,109.6839981,27.4477997,0
321,0,0,新晃侗族自治县,109.1719971,27.3577003,0
322,0,0,洪江市,109.9919968,27.1133003,0
323,0,0,溆浦县,110.5960007,27.9162006,0
324,0,0,黔阳县,110.137001,27.3297005,0
325,0,0,洞口县,110.5699997,27.0683002,0
326,0,0,新化县,111.2949982,27.7495003,0
327,0,0,涟源市,111.6699982,27.6991997,0
328,0,0,冷水江市,111.4250031,27.6956005,0
329,0,0,新邵县,111.4589996,27.3279991,0
330,0,0,邵东县,111.7389984,27.2458992,0
331,0,0,隆回县,111.0220032,27.1196995,0
332,0,0,湘潭县,112.9110031,27.8731995,0
333,0,0,湘乡市,112.5189972,27.7378006,0
334,0,0,双峰县,112.1989975,27.4638996,0
335,0,0,南岳区,112.7220001,27.2462997,0
336,0,0,衡东县,112.9440002,27.0895004,0
337,0,0,株洲县,113.1480026,27.7112007,0
338,0,0,醴陵市,113.4940033,27.6690998,0
339,0,0,莲花县,113.9520035,27.1319008,0
340,0,0,攸县,113.3440018,27.0046005,0
341,0,0,三穗县,108.6790009,26.9720001,0
342,0,0,台江县,108.310997,26.6772003,0
343,0,0,剑河县,108.5849991,26.6515007,0
344,0,0,雷山县,108.0680008,26.3892002,0
345,0,0,天柱县,109.2009964,26.9092999,0
346,0,0,会同县,109.7139969,26.8619995,0
347,0,0,锦屏县,109.1949997,26.6851006,0
348,0,0,靖州苗族侗族自治县,109.6949997,26.5762997,0
349,0,0,黎平县,109.1330032,26.2317009,0
350,0,0,通道侗族自治县,109.7699966,26.1599007,0
351,0,0,武冈市,110.6220016,26.7311993,0
352,0,0,绥宁县,110.1589966,26.5837002,0
353,0,0,新宁县,110.8450012,26.4335995,0
354,0,0,城步苗族自治县,110.3089981,26.3610992,0
355,0,0,资源县,110.6380005,26.0314007,0
356,0,0,邵阳县,111.2659988,26.9972992,0
357,0,0,祁阳县,111.8560028,26.5921993,0
358,0,0,冷水滩市,111.5839996,26.4440994,0
359,0,0,东安县,111.2839966,26.4041996,0
360,0,0,衡阳县,112.3710022,26.9743996,0
361,0,0,衡南县,112.5970001,26.9020996,0
362,0,0,祁东县,112.1230011,26.7921009,0
363,0,0,耒阳市,112.8470001,26.4155998,0
364,0,0,常宁县,112.387001,26.4078007,0
365,0,0,茶陵县,113.552002,26.8024998,0
366,0,0,宁冈县,113.9589996,26.7098007,0
367,0,0,安仁县,113.2679977,26.7073994,0
368,0,0,酃县,113.7669983,26.4974003,0
369,0,0,永兴县,113.1149979,26.1343994,0
370,0,0,桂东县,113.9329987,26.0832005,0
371,0,0,榕江县,108.5159988,25.9260998,0
372,0,0,从江县,108.901001,25.7462006,0
373,0,0,三江侗族自治县,109.5960007,25.7859001,0
374,0,0,融安县,109.3880005,25.218399,0
375,0,0,融水苗族自治县,109.2490005,25.0659008,0
376,0,0,龙胜各族自治县,110.0090027,25.7945004,0
377,0,0,兴安县,110.6660004,25.6135998,0
378,0,0,灵川县,110.3239975,25.4132004,0
379,0,0,临桂县,110.2070007,25.2367992,0
380,0,0,双牌县,111.6529999,25.9638996,0
381,0,0,全州县,111.0650024,25.9323006,0
382,0,0,宁远县,111.939003,25.5990009,0
383,0,0,道县,111.5910034,25.5319004,0
384,0,0,灌阳县,111.1449966,25.4892006,0
385,0,0,江永县,111.336998,25.2775002,0
386,0,0,江华瑶族自治县,111.5830002,25.1903992,0
387,0,0,新田县,112.2099991,25.9134007,0
388,0,0,桂阳县,112.7259979,25.7425003,0
389,0,0,嘉禾县,112.3590012,25.5874996,0
390,0,0,宜章县,112.9420013,25.4018993,0
391,0,0,蓝山县,112.1780014,25.3729,0
392,0,0,临武县,112.5390015,25.2819996,0
393,0,0,资兴市,113.2229996,25.9442005,0
394,0,0,郴县,113.0250015,25.8031998,0
395,0,0,汝城县,113.6800003,25.5522003,0
396,0,0,乐昌市,113.3470001,25.1354008,0
397,0,0,仁化县,113.7429962,25.0904999,0
398,0,0,环江毛南族自治县,108.2559967,24.8300991,0
399,0,0,罗城仫佬族自治县,108.8990021,24.7817993,0
400,0,0,宜山县,108.6559982,24.4911995,0
401,0,0,忻城县,108.6610031,24.0645008,0
402,0,0,永福县,109.9800034,24.9822006,0
403,0,0,柳城县,109.2369995,24.6574001,0
404,0,0,鹿寨县,109.7369995,24.4857998,0
405,0,0,柳江县,109.3259964,24.2528992,0
406,0,0,恭城县,110.8219986,24.8334999,0
407,0,0,阳朔县,110.4840012,24.7782001,0
408,0,0,平乐县,110.6470032,24.6362,0
409,0,0,荔浦县,110.3909988,24.4965,0
410,0,0,蒙山县,110.5199966,24.2036991,0
411,0,0,昭平县,110.8040009,24.1695995,0
412,0,0,金秀瑶族自治县,110.1800003,24.1305008,0
413,0,0,富川瑶族自治县,111.2649994,24.8246994,0
414,0,0,钟山县,111.2959976,24.5270004,0
415,0,0,连州市,112.3779984,24.7801991,0
416,0,0,连南瑶族自治县,112.2829971,24.7192993,0
417,0,0,连山壮族瑶族自治县,112.0739975,24.5697994,0
418,0,0,阳山县,112.6380005,24.4855003,0
419,0,0,乳源瑶族自治县,113.2689972,24.7847004,0
420,0,0,曲江县,113.5960007,24.6842995,0
421,0,0,英德市,113.4020004,24.1734009,0
422,0,0,衡山县,112.8529968,27.2462006,0
423,0,0,分宜县,114.6760025,27.8166008,0
424,0,0,安福县,114.6090012,27.3829994,0
425,0,0,吉安县,114.901001,27.0419006,0
426,0,0,新干县,115.3939972,27.7602997,0
427,0,0,峡江县,115.1480026,27.5541992,0
428,0,0,乐安县,115.8320007,27.4267998,0
429,0,0,永丰县,115.4329987,27.3225994,0
430,0,0,吉水县,115.1320038,27.2148991,0
431,0,0,金溪县,116.7770004,27.9106007,0
432,0,0,崇仁县,116.0619965,27.7562008,0
433,0,0,南城县,116.6279984,27.5601997,0
434,0,0,宜黄县,116.2099991,27.5468998,0
435,0,0,黎川县,116.9150009,27.2973995,0
436,0,0,南丰县,116.5299988,27.2147999,0
437,0,0,资溪县,117.0630035,27.7035007,0
438,0,0,光泽县,117.3339996,27.5401001,0
439,0,0,邵武市,117.4840012,27.3381996,0
440,0,0,浦城县,118.5370026,27.9251995,0
441,0,0,武夷山市,118.0270004,27.7565994,0
442,0,0,松溪县,118.7750015,27.5289001,0
443,0,0,政和县,118.8539963,27.3726006,0
444,0,0,建阳市,118.1060028,27.3404007,0
445,0,0,建瓯市,118.3239975,27.0394001,0
446,0,0,景宁畲族自治县,119.6439972,27.9750004,0
447,0,0,庆元县,119.052002,27.6147003,0
448,0,0,泰顺县,119.7109985,27.5583,0
449,0,0,寿宁县,119.5110016,27.4601002,0
450,0,0,柘荣县,119.8919983,27.2429008,0
451,0,0,周宁县,119.3359985,27.1135998,0
452,0,0,福安市,119.6470032,27.0890999,0
453,0,0,永新县,114.2369995,26.9461002,0
454,0,0,泰和县,114.8949966,26.7926006,0
455,0,0,井冈山市,114.1589966,26.5674,0
456,0,0,万安县,114.7799988,26.4622993,0
457,0,0,遂川县,114.5059967,26.3283997,0
458,0,0,兴国县,115.3440018,26.3229008,0
459,0,0,广昌县,116.3170013,26.8369007,0
460,0,0,建宁县,116.8330002,26.8330002,0
461,0,0,宁都县,116.0100021,26.4669991,0
462,0,0,石城县,116.3389969,26.3286991,0
463,0,0,宁化县,116.6600037,26.2668991,0
464,0,0,清流县,116.814003,26.1639996,0
